,price,description,locations,titles,target,labelled,websites
2943,895000.0,ml c5281654 live luxuriously the regis residence enjoy timeless tradition striking architectural corner suite sweeping lake city view bed bath ning over 264 detail ,city toronto,       condo for sale city toronto 4902 311 bay toronto ontario 1589403564 4902 311 bay toronto ontario  ,condos,1,https:/www.kijiji.ca/v-condo-for-sale/city-of-toronto/4902-311-bay-st-toronto-ontario/1589403564
2944,999900.0,ml c5424752 exceptional opportunity great value priced le per than last recent sale lower floor spectacular west south west north view from this 25th flr corner suite very detail ,city toronto,       condo for sale city toronto 2503 bedford toronto ontario 1593690233 2503 bedford toronto ontario  ,condos,1,https:/www.kijiji.ca/v-condo-for-sale/city-of-toronto/2503-1-bedford-rd-toronto-ontario/1593690233
2945,99000.0,ml c5425887 the luxurious gabriel adjacent bayview village where this first time for sale immaculate bedroom suite located pce bath soaker tub and separate shower stall west detail ,city toronto,       condo for sale city toronto 407 662 sheppard ave toronto ontario 1593689308 407 662 sheppard ave toronto ontario  ,condos,1,https:/www.kijiji.ca/v-condo-for-sale/city-of-toronto/407-662-sheppard-ave-e-toronto-ontario/1593689308
2946,710000.0,ml c5424973 excellent gorgeous 2bed 2bath corner suite the luxurious rockefeller daniel gourmet kitchen granite appliance upgraded hardwood throughout spacious principle detail ,city toronto,       condo for sale city toronto 514 kenaston gdns toronto ontario 1593688651 514 kenaston gdns toronto ontario  ,condos,1,https:/www.kijiji.ca/v-condo-for-sale/city-of-toronto/514-18-kenaston-gdns-toronto-ontario/1593688651
2947,979000.0,ml c5427242 welcome windfield terrace this stunning 2br bath split plan offer the ultimate privacy oversized living room and dinning room eat kitchen and walk out the terrace detail ,city toronto,       condo for sale city toronto 711 1200 don mills toronto ontario 1593688280 711 1200 don mills toronto ontario  ,condos,1,https:/www.kijiji.ca/v-condo-for-sale/city-of-toronto/711-1200-don-mills-rd-toronto-ontario/1593688280
2948,290000.0,ml c5425788 luxury bright and spacious suite the heart toronto bedroom bathroom southeast view lake ontario and the tower concierge service and elite hotel styled detail ,city toronto,       condo for sale city toronto 4603 300 front toronto ontario 1593688301 4603 300 front toronto ontario  ,condos,1,https:/www.kijiji.ca/v-condo-for-sale/city-of-toronto/4603-300-front-st-w-toronto-ontario/1593688301
2949,550000.0,ml c5426157 fully upgraded luxury suite incredible between yorkville and rosedale bright and filled with sunlight unobstructed view the breathtaking terrace building ha star detail ,city toronto,       condo for sale city toronto 911 825 church toronto ontario 1593687288 911 825 church toronto ontario  ,condos,1,https:/www.kijiji.ca/v-condo-for-sale/city-of-toronto/911-825-church-st-toronto-ontario/1593687288
2950,745800.0,ml c5425300 luxury condo the heart bay college downtown south facing den suite granite kitchen with backsplash 9ft ceiling new paint close hospital ryerson university detail ,city toronto,       condo for sale city toronto 1507 770 bay toronto ontario 1593688186 1507 770 bay toronto ontario  ,condos,1,https:/www.kijiji.ca/v-condo-for-sale/city-of-toronto/1507-770-bay-st-toronto-ontario/1593688186
2951,639000.0,ml n5426757 prestigious landmark thornhill hour concierge walk school public transit park shopping supermarket and restaurant great amenity billiard room squash room detail ,markham york region   ,       condo for sale markham york region 202 7825 bayview ave markham ontario 1593687796 202 7825 bayview ave markham ontario  ,condos,1,https:/www.kijiji.ca/v-condo-for-sale/markham-york-region/202-7825-bayview-ave-markham-ontario/1593687796
2952,549900.0,ml w5425406 wasted space 552 per builder floorplan that overlook the piazza water feature below and the park looking northeast from the unit and balcony that feature two walkout detail ,city toronto,       condo for sale city toronto 318 830 lawrence ave toronto ontario 1593685799 318 830 lawrence ave toronto ontario  ,condos,1,https:/www.kijiji.ca/v-condo-for-sale/city-of-toronto/318-830-lawrence-ave-w-toronto-ontario/1593685799
2953,615500.0,ml n5365305 assignment sale brand new luxury the stunning tc5 prime spacious 1bdr den and full bath den can used 2nd ha sliding door locker included suite detail ,markham york region   ,       condo for sale markham york region 3908 175 millway ave vaughan ontario 1585124824 3908 175 millway ave vaughan ontario  ,condos,1,https:/www.kijiji.ca/v-condo-for-sale/markham-york-region/3908-175-millway-ave-vaughan-ontario/1585124824
2954,509900.0,ml c5425151 award winning bldg the lake pied terre getaway investor dream great rental walk porter airline downtown hub corner unit amazing view bathurst freshly painted detail ,city toronto,       condo for sale city toronto 1022 650 queens quay toronto ontario 1593686783 1022 650 queens quay toronto ontario  ,condos,1,https:/www.kijiji.ca/v-condo-for-sale/city-of-toronto/1022-650-queens-quay-w-toronto-ontario/1593686783
2955,150000.0,ml w5426320 fully renovated bdrm den condo desirable kingsview village etobicoke 400 sqft living space bath includes beautiful private terrace pkg space locker includes detail ,city toronto,       condo for sale city toronto 306 2010 islington ave toronto ontario 1593687143 306 2010 islington ave toronto ontario  ,condos,1,https:/www.kijiji.ca/v-condo-for-sale/city-of-toronto/306-2010-islington-ave-toronto-ontario/1593687143
2956,609900.0,ml n5426260 the allegra beautiful suite with balcony facing front building located west woodbridge bedroom parking spot and low maintenance fee great layout unit master detail ,markham york region   ,       condo for sale markham york region 307 woodstream blvd vaughan ontario 1593686165 307 woodstream blvd vaughan ontario  ,condos,1,https:/www.kijiji.ca/v-condo-for-sale/markham-york-region/307-24-woodstream-blvd-vaughan-ontario/1593686165
2957,450000.0,ml w5426753 take walk through this excellent investment opportunity situated the highly desirable and sought after area etobicoke the west mall with high rental potential this bedroom detail ,city toronto,       condo for sale city toronto 1803 714 the west mall toronto ontario 1593685966 1803 714 the west mall toronto ontario  ,condos,1,https:/www.kijiji.ca/v-condo-for-sale/city-of-toronto/1803-714-the-west-mall-rd-toronto-ontario/1593685966
2963,578000.0,ml w5398015 gorgeous bedroom plus solarium unit floor ceiling window allow ton natural light unit also offer full washroom large living area and beautiful view tastefully built detail ,city toronto,       condo for sale city toronto 1802 markbrook lane toronto ontario 1589399441 1802 markbrook lane toronto ontario  ,condos,1,https:/www.kijiji.ca/v-condo-for-sale/city-of-toronto/1802-10-markbrook-lane-n-toronto-ontario/1589399441
2964,898000.0,ml c5365514 incredible unobstructed view overlooking roy thompson hall and the dtwn core over 1200 large bedroom plus huge den can used 2nd bedroom hardwood flrs throughout detail ,city toronto,       condo for sale city toronto 901 simcoe toronto ontario 1585122186 901 simcoe toronto ontario  ,condos,1,https:/www.kijiji.ca/v-condo-for-sale/city-of-toronto/901-71-simcoe-st-toronto-ontario/1585122186
2965,500000.0,ml w5332892 bright and spacious bedroom condo the heart brampton this unit feature large solarium that can make working from home very comfortable also feature eat kitchen detail ,mississauga peel region,       condo for sale mississauga peel region 301 100 county court blvd brampton ontario 1580704876 301 100 county court blvd brampton ontario  ,condos,1,https:/www.kijiji.ca/v-condo-for-sale/mississauga-peel-region/301-100-county-court-blvd-brampton-ontario/1580704876
2967,250.0,separate bedroom washroom the bedroom good size with lot lighting and also includes bathroom the current tenant female looking for clean quiet young professional female share detail ,mississauga peel region,       apartments condos mississauga peel region room for rent 1597869986 room for rent  ,condos,1,https:/www.kijiji.ca/v-apartments-condos/mississauga-peel-region/room-for-rent/1597869986
2969,900.0,• absolute world high floor the landmark the heart mississauga across the square one shopping centre • open concept foot ceiling with plenty sunlight overlooking pearson airport detail ,mississauga peel region,       apartments condos mississauga peel region luxury one bedroom apartment absolute avenue mississauga 1597868234 luxury one bedroom apartment absolute avenue mississauga  ,condos,1,https:/www.kijiji.ca/v-apartments-condos/mississauga-peel-region/luxury-one-bedroom-apartment-in-60-absolute-avenue-mississauga/1597868234
2971,300.0,hitwo bedroom two full wash room with stand shower suite landry gym door pool hour security very modern clean and specious with locker next humber college for more information contact detail ,mississauga peel region,       apartments condos mississauga peel region apartment two bedroom condo for rent dec jan first 1593646347 apartment two bedroom condo for rent dec jan first  ,condos,1,https:/www.kijiji.ca/v-apartments-condos/mississauga-peel-region/apartment-two-bedroom-condo-for-rent-dec-20-or-jan-first/1593646347
2972,919000.0,bright spacious floor ceiling window abundance natural light located the heart lawrence market easiest commute the financial district king bed worthy bdrm 4pc ensuite detail ,city toronto,       condo for sale city toronto bright spacious floor ceiling windows abundance natural 1597817921 bright spacious floor ceiling windows abundance natural  ,condos,1,https:/www.kijiji.ca/v-condo-for-sale/city-of-toronto/bright-spacious-floor-to-ceiling-windows-w-abundance-of-natural/1597817921
2973,650000.0,hello selling our condo very prime unit 507 2565 erin centre blvd mississauga right across from erin mill town centre with library high school hospital and other detail ,mississauga peel region,       condo for sale mississauga peel region bed washroom condo for sale erin mills 1597864458 bed washroom condo for sale erin mills  ,condos,1,https:/www.kijiji.ca/v-condo-for-sale/mississauga-peel-region/2-bed-2-washroom-condo-for-sale-in-erin-mills/1597864458
2975,200.0,bright spacious 702sf balcony @ sherbourne adelaide bdrm den with built murphy bed that can used second bedroom with two full bath great for couple and work from detail ,city toronto,       apartments condos city toronto bedroom murphy bed full bath downtown 1597698003 bedroom murphy bed full bath downtown  ,condos,1,https:/www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-murphy-bed-2-full-bath-downtown/1597698003
2976,880.0,this bright spacious quiet unit 9th floor facing south east with unblocked gorgeous down town view convenient walk community center supermarket library drug store school all detail ,markham york region   ,       apartments condos markham york region the prestigious condo landmark thornhill bayview ave 1597847048 the prestigious condo landmark thornhill bayview ave  ,condos,1,https:/www.kijiji.ca/v-apartments-condos/markham-york-region/the-prestigious-condo-landmark-of-thornhill-1-on-bayview-ave/1597847048
2978,400.0,room for rent available now one large master bedroom with private bathroom prefer vegetarian female brand new gym swimming pool security guard site beside university toronto please detail ,city toronto,       apartments condos city toronto large room private bathroom for rent beside 1597863105 large room private bathroom for rent beside  ,condos,1,https:/www.kijiji.ca/v-apartments-condos/city-of-toronto/large-room-private-bathroom-for-rent-beside-ut/1597863105
2979,749900.0,price 749 900 2367 brooklin beauty rarely offered end unit home with incredibly spacious floorplan beautiful hardwood throughout the main kitchen ha breakfast bar and over look dining detail ,oshawa durham region,       condo for sale oshawa durham region fairly priced for sale baldwin and winchester 1597862916 fairly priced for sale baldwin and winchester  ,condos,1,https:/www.kijiji.ca/v-condo-for-sale/oshawa-durham-region/fairly-priced-for-sale-at-baldwin-and-winchester/1597862916
2980,50.0,looking for female roommate occupy the second bedroom 2bed 2bath condo the place subway line the sheppard west station avro condo rent 1050 all utility included but hydro detail ,city toronto,       room rental roommate city toronto room for rent 2bed 2bath condo 1597862764 room for rent 2bed 2bath condo  ,condos,1,https:/www.kijiji.ca/v-room-rental-roommate/city-of-toronto/1-room-for-rent-in-2bed-2bath-condo/1597862764
2981,850.0,prestigious harbour plaza york queen quay new building le than year unblocked south view 55th floor foot ceiling one locker can included extra cost standard rental detail ,city toronto,       apartments condos city toronto harbour plaza condo for rent coperative agent welcome 1597862442 harbour plaza condo for rent coperative agent welcome  ,condos,1,https:/www.kijiji.ca/v-apartments-condos/city-of-toronto/harbour-plaza-condo-for-rent-coperative-agent-is-welcome/1597862442
2982,775.0,bedroom den condo unit all inclusive don mill road overlea blvd condo unit for rent all inclusive don mill and eglinton overlea blvd one and half bedroom full siting room full detail ,city toronto,       apartments condos city toronto bedroom den condo unit all inclusive 1597862248 bedroom den condo unit all inclusive  ,condos,1,https:/www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-den-condo-unit-all-inclusive/1597862248
2983,450.0,beautiful well lit condo style basement apartment for rent close ttc and warden subway separate entrance all utility included your own cat5 cable with high speed unlimited data looking for detail ,city toronto,       apartments condos city toronto bedroom basement apartment 1589498745 bedroom basement apartment  ,condos,1,https:/www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-basement-apartment/1589498745
2984,50.0,furnished room for rent 2000 square foot condo available immediately 627 west mall etobicoke toronto 1050 month three bedroom condo ideal for student airport worker close detail ,city toronto,       room rental roommate city toronto room for rent 2000 square foot condo available immediate 1597861574 room for rent 2000 square foot condo available immediate  ,condos,1,https:/www.kijiji.ca/v-room-rental-roommate/city-of-toronto/room-for-rent-in-a-2000-square-foot-condo-available-immediate/1597861574
2985,250.0,widmer street suite 2505 bedroom apartment cinema tower live the intersection art film culture beautiful southwest corner suite high floor miele appliance detail ,city toronto,       apartments condos city toronto bedroom apartment for rent widmer street suite 2505 1597861467 bedroom apartment for rent widmer street suite 2505  ,condos,1,https:/www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-apartment-for-rent-21-widmer-street-suite-2505/1597861467
2986,650.0,lakeview nxt2 30th flr rent 1650 hydro parking available for year lease spacious open concept bedroom bath condo nxt2 windermere the lake prestigious high park detail ,city toronto,       apartments condos city toronto lakeview nxt2 30th flr rent 1650 hydro parking 1597861451 lakeview nxt2 30th flr rent 1650 hydro parking  ,condos,1,https:/www.kijiji.ca/v-apartments-condos/city-of-toronto/1-br-lakeview-nxt2-30th-flr-rent-1650-hydro-no-parking/1597861451
2987,750.0,fabulous 688 condo located the heart kleinburg village corian countertop maple cabinetry wrought iron picket and marble flooring fridge stove dishwasher washer dryer detail ,markham york region   ,       apartments condos markham york region bedroom suite located the heart kleinburg village 1597861066 bedroom suite located the heart kleinburg village  ,condos,1,https:/www.kijiji.ca/v-apartments-condos/markham-york-region/1-bedroom-suite-located-in-the-heart-of-kleinburg-village/1597861066
2988,150.0,spectacular north west corner suite the 38th floor with amazing skyline toronto lake view approx 600 balcony featuring bedroom smooth ceiling floor ceiling wall wall detail ,city toronto,       apartments condos city toronto amazing city lake view condo fully furnished 1597860064 amazing city lake view condo fully furnished  ,condos,1,https:/www.kijiji.ca/v-apartments-condos/city-of-toronto/amazing-city-lake-view-condo-fully-furnished/1597860064
2990,250.0,looking for female roommate available january 2022 private bedroom with own bathroom guest washroom 2bed 2bath apartment 1250 utility water heat internet included term detail ,city toronto,       apartments condos city toronto looking for female roommate 2bd 2bth bloor islington 1597858748 looking for female roommate 2bd 2bth bloor islington  ,condos,1,https:/www.kijiji.ca/v-apartments-condos/city-of-toronto/looking-for-a-female-roommate-2bd-2bth-on-bloor-islington/1597858748
2991,250.0,looking for female roommate available january 2022 private bedroom with own bathroom guest washroom 2bed 2bath apartment 1250 utility water heat internet included term detail ,city toronto,       apartments condos city toronto looking for female roommate 2bd 2bth bloor islington 1597858667 looking for female roommate 2bd 2bth bloor islington  ,condos,1,https:/www.kijiji.ca/v-apartments-condos/city-of-toronto/looking-for-a-female-roommate-2bd-2bth-on-bloor-islington/1597858667
2992,100.0,floor ceiling window living room den with unobstructed view humber arboretum ensuite laundry outdoor pool bbq area tennis court great for access transportation detail ,mississauga peel region,       apartments condos mississauga peel region bed den condo for rent close 427 derry 1597857702 bed den condo for rent close 427 derry  ,condos,1,https:/www.kijiji.ca/v-apartments-condos/mississauga-peel-region/1-bed-1-den-condo-for-rent-close-to-427-derry-rd/1597857702
2993,699000.0,liberty market tower city toronto ✅ 171 east liberty toronto ✅occupancy dec 2021 ✅unit type condo bedroom bath balcony waterfront ✅list price 699 000 ✅original price detail ,city toronto,       condo for sale city toronto absoluetly stunning toronto condo 1597857804 absoluetly stunning toronto condo  ,condos,1,https:/www.kijiji.ca/v-condo-for-sale/city-of-toronto/absoluetly-stunning-toronto-condo/1597857804
2994,300.0,lower simcoe bedroom and den with tower view without obstruction extra large balcony one parking spot included modern kitchen brand new stainless steel appliance with upgraded granite detail ,city toronto,       apartments condos city toronto bedroom den with parking condo rental 1597857606 bedroom den with parking condo rental  ,condos,1,https:/www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-1-den-with-parking-condo-rental/1597857606
2995,900.0,bedroom bathroom the 17th floor with juliet balcony appliance included fridge stove dishwasher washing machine and dryer condo located right next islington station 900 month detail ,city toronto,       apartments condos city toronto bedroom islington and bloor for rent islington station 1597822869 bedroom islington and bloor for rent islington station  ,condos,1,https:/www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-islington-and-bloor-for-rent-islington-station/1597822869
2996,600.0,are the dundas and keele walking distence bus and subway station close park and school detail ,city toronto,       apartments condos city toronto bedroom condo heintzman for rent 1597821268 bedroom condo heintzman for rent  ,condos,1,https:/www.kijiji.ca/v-apartments-condos/city-of-toronto/2-1-bedroom-condo-at-60-heintzman-st-for-rent/1597821268
2998,200.0,welcome sixty colborne incredibly spacious 1200 corner suite two balcony wide open living and dining floor ceiling window ton natural light ceiling slick kitchen detail ,city toronto,       apartments condos city toronto 1200 corner suite steps lawrence market 1597857008 1200 corner suite steps lawrence market  ,condos,1,https:/www.kijiji.ca/v-apartments-condos/city-of-toronto/1200-sq-ft-corner-suite-steps-to-st-lawrence-market/1597857008
2999,500.0,stunning two bedroom condo prime north york oneparking and one locker direct access subway step from shop north york library north york centre theatre loblaws etc detail ,city toronto,       apartments condos city toronto stunning two bedroom condo north york centre 1597856986 stunning two bedroom condo north york centre  ,condos,1,https:/www.kijiji.ca/v-apartments-condos/city-of-toronto/stunning-two-bedroom-condo-north-york-centre/1597856986
3005,619000.0,contact 416 317 1830 for detail assignment condo menkes dundas jarvis 219 dundas toronto unit bed bath condo assignment floor 619 000 unit bachelor unit bath condo detail ,city toronto,       condo for sale city toronto condo assignment for sale condo menkes dundas jarvis 1597856977 condo assignment for sale condo menkes dundas jarvis  ,condos,1,https:/www.kijiji.ca/v-condo-for-sale/city-of-toronto/condo-assignment-for-sale-in-de-condo-by-menkes-dundas-jarvis/1597856977
3006,300.0,welcome pinnacle adelaide west located right the heart entertainment district step tiff the financial district and tower walking distance grocery store restaurant detail ,city toronto,       apartments condos city toronto downtown pinnacle adelaide one bed one bath king west 1590024213 downtown pinnacle adelaide one bed one bath king west  ,condos,1,https:/www.kijiji.ca/v-apartments-condos/city-of-toronto/downtown-pinnacle-on-adelaide-one-bed-one-bath-king-west/1590024213
3007,950.0,spacious one bedroom condo ground level condo offer gorgeous flooring marble counter kitchen and bathroom california blind freshly painted neutral color scheme fridge stove microwave detail ,oakville halton region,       apartments condos oakville halton region one bedroom condo unit for rent main street milton 1597856883 one bedroom condo unit for rent main street milton  ,condos,1,https:/www.kijiji.ca/v-apartments-condos/oakville-halton-region/one-bedroom-condo-unit-for-rent-main-street-milton/1597856883
3009,650.0,south facing view condo fantastic spacious the heart downtown step away from bloor yonge subway station prestigious yorkville rosedale neighborhood close reputed school detail ,city toronto,       apartments condos city toronto yonge bloor bedroom condo for rent 1597856486 yonge bloor bedroom condo for rent  ,condos,1,https:/www.kijiji.ca/v-apartments-condos/city-of-toronto/yonge-bloor-1-1-bedroom-condo-for-rent/1597856486
3010,150.0,spacious bedroom unit with parking exceptional open concept floor plan and huge balcony detail ,markham york region   ,       apartments condos markham york region bedroom apartment vaughan city centre 1597856355 bedroom apartment vaughan city centre  ,condos,1,https:/www.kijiji.ca/v-apartments-condos/markham-york-region/2-bedroom-apartment-vaughan-city-centre/1597856355
3011,679000.0,contact 416 317 1830 for detail assignment liberty market tower condo east liberty 171 east liberty street toronto unit bed den bath condo assignment with locker 679000 floor unit detail ,city toronto,       condo for sale city toronto condo assignment for sale liberty market tower east liberty 1597856255 condo assignment for sale liberty market tower east liberty  ,condos,1,https:/www.kijiji.ca/v-condo-for-sale/city-of-toronto/condo-assignment-for-sale-liberty-market-tower-east-liberty/1597856255
3012,50.0,heart downtown bay\gerrard bedroom den condo for rent bay gerrard includes all utility cable internet available now stunning compact condo the liberty bay condo ha open detail ,city toronto,       apartments condos city toronto excellent condo includes all utilities cable internet 1597855599 excellent condo includes all utilities cable internet  ,condos,1,https:/www.kijiji.ca/v-apartments-condos/city-of-toronto/excellent-dt-condo-includes-all-utilities-cable-internet/1597855599
3013,759999.0,enjoy open concept living perfectly set for entertaining the rooftop patio offer full out sun for relaxing warm day with custom seating area main floor high ceiling hardwood floor and detail ,mississauga peel region,       house for sale mississauga peel region gorgeous plus condo townhouse for sale mississauga 1597855488 gorgeous plus condo townhouse for sale mississauga  ,condos,1,https:/www.kijiji.ca/v-house-for-sale/mississauga-peel-region/gorgeous-2-plus-1-condo-townhouse-for-sale-in-mississauga/1597855488
3014,995.0,spacious bedroom suite for rent the floor luxury condominium beecroft the finch subway station with walk closet and extra large balcony suite laundry and wall wall detail ,city toronto,       apartments condos city toronto bedroom suite with walk closet and extra large balcony 1597855139 bedroom suite with walk closet and extra large balcony  ,condos,1,https:/www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-suite-with-walk-in-closet-and-extra-large-balcony/1597855139
3015,800.0,gorgeous corner bedroom bathroom overlooking downtown toronto lake and urban park convenience grocery restaurant bank and more amenity inc indoor pool gym squash hot yoga party detail ,city toronto,       apartments condos city toronto front spadina bedroom for rent 1597855094 front spadina bedroom for rent  ,condos,1,https:/www.kijiji.ca/v-apartments-condos/city-of-toronto/front-spadina-2-bedroom-for-rent/1597855094
3016,25.0,welcome erskine ave 1008 rare opportunity live the heart midtown this immaculate condominium suite the definition luxury first month rent free you apply and are tagline helping you what detail ,city toronto,       apartments condos city toronto executive midtown condominium 1595809557 executive midtown condominium  ,condos,1,https:/www.kijiji.ca/v-apartments-condos/city-of-toronto/executive-midtown-condominium/1595809557
3017,900.0,bedroom condo 2900 utility month located fort york and spadina available starting nov min walk from union station express spadina streetcar go union station well detail ,city toronto,       apartments condos city toronto bedroom bathroom down town toronto condo 2900 per month 1597854650 bedroom bathroom down town toronto condo 2900 per month  ,condos,1,https:/www.kijiji.ca/v-apartments-condos/city-of-toronto/3-bedroom-2-bathroom-down-town-toronto-condo-2900-per-month/1597854650
3018,300.0,prestigious beverly hill residence stunning apartment the heart richmond hill unobscured view spacious unit with high end finishing ’ ceiling parking and locker included walking detail ,markham york region   ,       apartments condos markham york region bedroom condo yonge luxurious building 1597854527 bedroom condo yonge luxurious building  ,condos,1,https:/www.kijiji.ca/v-apartments-condos/markham-york-region/2-bedroom-condo-yonge-16-luxurious-building/1597854527
3019,400.0,beautiful bedroom with panoramic unobstructed view lake and city corner suite with wrap around 280 balcony one stand alone parking and locker laminate floor throughout detail ,city toronto,       apartments condos city toronto parklawn and lakeshore 1597854411 parklawn and lakeshore  ,condos,1,https:/www.kijiji.ca/v-apartments-condos/city-of-toronto/parklawn-and-lakeshore/1597854411
3022,350.0,contemporary style condo located the heart vaughan two bedroom two bathroom bright and beautiful high quality laminate flooring step subway station viva transit hwy 400 407 detail ,markham york region   ,       apartments condos markham york region bedroom condo vaughan metropolitan 1597853845 bedroom condo vaughan metropolitan  ,condos,1,https:/www.kijiji.ca/v-apartments-condos/markham-york-region/2-bedroom-condo-vaughan-metropolitan/1597853845
3023,650.0,vacant jan 2022 address 225 sackville toronto m5a 0b9 canada stunning bright spacious bedroom corner south east suite paintbox condominium excellent neighbourhood near detail ,city toronto,       apartments condos city toronto spacious bright beds baths condo downtown toronto 1597853777 spacious bright beds baths condo downtown toronto  ,condos,1,https:/www.kijiji.ca/v-apartments-condos/city-of-toronto/spacious-bright-2-beds-2-baths-condo-in-downtown-toronto/1597853777
3024,599000.0,contact 416 317 1830 for detail assignment condo express condo tippet road north york bed den bath condo assignment 599000 sorry not cooperate with realtor buyer already working detail ,city toronto,       condo for sale city toronto condo assignment for sale express condo allen 401 1597853384 condo assignment for sale express condo allen 401  ,condos,1,https:/www.kijiji.ca/v-condo-for-sale/city-of-toronto/condo-assignment-for-sale-express-condo-allen-rd-401/1597853384
3025,699000.0,price 699 000 2207 many upgrade awesome spacious bedroom townhome could yours well kept just move high ceiling kitchen dining room level solar blind 2020 detail ,oshawa durham region,       condo for sale oshawa durham region bdrm condo townhouse pickering 1597853156 bdrm condo townhouse pickering  ,condos,1,https:/www.kijiji.ca/v-condo-for-sale/oshawa-durham-region/3-bdrm-condo-townhouse-in-pickering/1597853156
3026,900.0,welcome 185 roehampton the urban neighbourhood yonge eglinton this one bedroom bath condo come with stainless steel appliance and floor ceiling window throughout providing great detail ,city toronto,       apartments condos city toronto bedroom 185 roehampton ave 1900 plus hydro 1597852891 bedroom @ 185 roehampton ave 1900 plus hydro  ,condos,1,https:/www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-185-roehampton-ave-1900-plus-hydro/1597852891
3027,300.0,tridel luxury condo prime north york with amazing recreation amenity including bowling tennis court table tennis swimming pool roof top garden virtual golf gym billiards detail ,city toronto,       apartments condos city toronto bedroom condo finch yonge prime  north york 1597852713 bedroom condo finch yonge prime  north york  ,condos,1,https:/www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bedroom-condo-finch-yonge-prime-location-of-north-york/1597852713
3028,499000.0,condo apt mississauga near hurontario burnhamthorpe area bright bed den the heart mississauga shopping entertainment district featuring ideal open concept living detail ,mississauga peel region,       condo for sale mississauga peel region 1br 2wr condo apt mississauga near hurontario burnhamthorpe 1597852570 1br 2wr condo apt mississauga near hurontario burnhamthorpe  ,condos,1,https:/www.kijiji.ca/v-condo-for-sale/mississauga-peel-region/1br-2wr-condo-apt-in-mississauga-near-hurontario-burnhamthorpe/1597852570
3029,889000.0,contact 416 317 1830 for detail assignment ayc condo yorkville 181 bedford road toronto m5r 3p8 unit bed bath condo assignment with parking and locker included 889000 floor unit detail ,city toronto,       condo for sale city toronto condo assignment for sale ayc condosyorkville bed parking 1597852534 condo assignment for sale ayc condosyorkville bed parking  ,condos,1,https:/www.kijiji.ca/v-condo-for-sale/city-of-toronto/condo-assignment-for-sale-ayc-condosyorkville-2-bed-wt-parking/1597852534
3031,489000.0,condo apt mississauga near fieldgate bloor area rarely offered top floor bright spacious den unit washroom pride ownership over year open concept detail ,mississauga peel region,       condo for sale mississauga peel region 2br 2wr condo apt mississauga near fieldgate bloor 1597852416 2br 2wr condo apt mississauga near fieldgate bloor  ,condos,1,https:/www.kijiji.ca/v-condo-for-sale/mississauga-peel-region/2br-2wr-condo-apt-in-mississauga-near-fieldgate-bloor/1597852416
3032,900.0,tridel luxury condo prime north york with amazing recreation amenity including bowling tennis court table tennis virtual golf gym billiards library party room bbq area direct detail ,city toronto,       apartments condos city toronto yonge finch bedroom condo luxurious building north york 1597852306 yonge finch bedroom condo luxurious building north york  ,condos,1,https:/www.kijiji.ca/v-apartments-condos/city-of-toronto/yonge-finch-1-bedroom-condo-luxurious-building-north-york/1597852306
3034,689000.0,liberty market tower city toronto ✅ 171 east street toronto ✅occupancy november december 2021 ✅unit type condo bedroom bathroom ✅list price 689 000 ✅original price 608 325 detail ,city toronto,       condo for sale city toronto amazingly priced bedroom condo toronto 1597851184 amazingly priced bedroom condo toronto  ,condos,1,https:/www.kijiji.ca/v-condo-for-sale/city-of-toronto/amazingly-priced-1-1-bedroom-condo-in-toronto/1597851184
3035,249000.0,contact 416 317 1830 for detail assignment aqualuna condo 263 queen quay east toronto unit bed bath 1465sqft condo assignment with parking and locker 119 000 unit bed detail ,city toronto,       condo for sale city toronto condo assignment for sale aqualuna condos tridel 1597850674 condo assignment for sale aqualuna condos tridel  ,condos,1,https:/www.kijiji.ca/v-condo-for-sale/city-of-toronto/condo-assignment-for-sale-aqualuna-condos-by-tridel/1597850674
3037,619000.0,contact 416 317 1830 for detials assignment condo the esplanade the esplanade toronto lawrence market unit bed den bath condo assignment with locker included 619000 unit detail ,city toronto,       condo for sale city toronto condo assignment for sale the esplanade lawrence markt 1597849575 condo assignment for sale the esplanade lawrence markt  ,condos,1,https:/www.kijiji.ca/v-condo-for-sale/city-of-toronto/condo-assignment-for-sale-75-on-the-esplanade-st-lawrence-markt/1597849575
3039,895.0,beautiful unit for rent very close yonge and finch ’ located one the most luxurious building toronto also very close public transportation detail ,city toronto,       apartments condos city toronto one bedroom den for rent yonge and finch 1590704364 one bedroom den for rent yonge and finch  ,condos,1,https:/www.kijiji.ca/v-apartments-condos/city-of-toronto/one-bedroom-den-for-rent-yonge-and-finch/1590704364
